HANDLE	BLOCKNAME	TYPE	AREA	MEDIUM
'187BF	tag automat	HLT-01	P06	M09
'1874C	Tag_manual1	MRV-02	P04	M01
'185CA	Tag_manual1	MBV-03	P05	M09
'185C4	Tag_manual1	MSV-01	P05	M09
'185AF	Tag_manual1	MSV-01	P04	M03
'18584	tag automat	FC-02	P05	M09
'1853C	Tag_manual1	MPV-01	P05	M09
'18259	Tag_manual1	T-01	P05	M09
'18176	Tag_manual1	MBV-06	P04	M09
'18163	tag automat	UV-01	P05	M09
'1815E	tag automat	P-01	P05	M09
'1814D	Tag_manual1	FLT-01	P04	M09
'1812C	Tag_manual1	MBV-04	P05	M09
'18117	Tag_manual1	MBV-02	P05	M09
'180ED	tag automat	HLT-01	P05	M09
'18060	Tag_manual1	FLT-04	P04	M01
'1803A	Tag_manual1	CV-03	P04	M01
'18035	Tag_manual1	PI-02	P04	M01
'18023	tag automat	ABV-01	P04	M01
'1800E	tag automat	FC-03	P04	M01
